,0,1,2,3,4,5
dark,0.0353187437053748,-0.02063255429541679,0.008831237889647927,-0.048933326026930755,-0.006379009593331173,-0.013372867854461496
body,0.006543801050782189,-0.0018771849759667998,0.025297111218278684,-0.024724547279831952,-0.021844443522234493,-0.007562370586178112
ran,0.03401794251535037,-0.008983932267456923,-0.018126797505546008,-0.06337808990464633,-0.02090114617406351,-0.005613817491633574
turn,-0.000545657350097638,0.007639577571521975,0.005807091694612244,-0.0014395048725033886,0.01062426385429964,-0.00048168737292594307
close,0.01537370798628545,0.009057376110514846,0.009778430230642714,-0.02621027629704184,-0.00771808664856282,-0.01438195256980804
coming,0.04071553506300285,0.0013232761287802896,-0.008236287014998985,-0.02094498394860859,0.00041795286461917115,-0.023204949791061653
hear,0.016249463428104467,-0.007002253548535199,0.015119831233209398,-0.0069544207568414465,-0.0021845350896170872,0.0061914944377464785
suppose,0.028578389835683702,-0.0005243334536908129,0.0136166834940189,-0.0005081333060396637,0.022681486621853205,-0.009029876305311987
human,0.03144290938075585,-0.014218886603654236,0.024334649676990873,-0.02653802806673163,0.025967923164491168,0.012247118320051298
use,-0.016925773201230992,-0.011867394253815132,-0.003747643130918584,0.000253764525899536,0.018908507455365233,0.015088829673933215
does,-0.0029482967122891595,-0.003866287853553208,0.014805985309209466,0.026043422050098217,0.021607681779401745,0.0033154258081075773
reach,-0.02039283882172193,0.0045603394549150545,0.00032348837459563953,0.004405120304781462,0.011461690563029802,0.014535808584048883
mass,-0.011118023948310338,-0.00899190788760878,0.03478470371920434,-0.019435348032158708,-0.017163853593703236,0.009997695903621791
form,-0.0017939490627374296,-0.006102989499859605,0.015310542624635486,-0.0004702515859957792,0.02174127935852855,0.007076681394408265
strong,-0.005528313027234473,-0.002916116933519793,0.0004092267006301581,-0.0040230214218092974,-0.0034308944639579596,-0.0037364320406725066
state,0.017547647632165413,-0.019179227483919075,0.017229429617451695,0.010817465427796333,0.061398557982896354,0.03833213011425254
want,0.032635613017194295,-0.006462276328985641,-0.009629046762230163,0.011642484259058526,0.01950570278898601,-0.010333885263837134
simply,0.007625177026313745,-0.009925690553361073,0.01329160427182799,-0.003710140575612627,0.004671870648137881,0.01025238571122371
chance,0.004067963975815036,-0.008315176059683748,-0.014767448751358407,-3.0389409598709395e-05,0.0029173092295578713,-0.013524418895742069
line,0.00563403308920364,0.0031222840977367023,0.01752919435827348,-0.010776205957095166,0.0012100019816846709,-0.008990242741157773
cut,0.0006990290585144883,0.000984655570296118,-0.008432271656070795,-0.01866866392217186,-0.004463566108381912,-0.014977806197835074
fall,-0.0004138602172776151,0.003899017627149713,0.03390510269126118,-0.013520922804000336,0.013174205544966644,0.009288515733396695
met,0.013000129779751207,-0.011826976568930569,-0.01837493081075179,0.008234261933220863,0.01718202368227183,-0.007130632655437883
young,0.03164684195513857,-0.0003513203682195827,-0.06695827082521895,0.04161415175682554,0.056804803579008564,-0.0068208447805015076
anything,0.013445359853327551,-0.017595141445769964,0.00014176382190231969,-0.0034607547107180308,0.023107420969976394,-0.0028598910567688776
evening,-0.011908051504340657,0.007001030940071054,-0.031190520569711215,0.0037825578685810497,0.010949420644558715,-0.001792697090021816
beneath,-0.0011282212918386526,0.000984689529268849,0.024125500317876743,-0.02036719486153077,-0.0006541270106123855,-0.0133646524419081
seven,-0.021668564844264986,0.0009667963232052797,0.0008681782700305262,0.01285967579959209,-0.013235156421531762,-0.0012310751267506524
